deso,area_km2,centroid_latitude,centroid_longitude
1256B2010,6.14183419609839,56.192837277312805,14.073619526769644
0760B3010,10.25354331745265,57.12848178963465,15.15852130390429
1082C1120,1.589360189258235,56.20444542468206,14.83977137934113
1292A0010,35.21412677208718,56.16158360905731,12.859058891820295
1081C1070,0.9800078490661976,56.21538714981002,15.281534485653225
1081C1020,4.513128734320638,56.193091597898615,15.304434658451084
0880C1050,0.32973803821158654,56.66138582931546,16.330452624314486
0840B2020,15.864677267430107,56.63851774899359,16.510729112328082
1082C1110,4.6402285062745205,56.19714311846295,14.865195390123976
1293A0030,118.56281585717356,56.14447306912467,13.897810706932372
1081A0010,103.97661347460294,56.1541780106651,15.265727254458977
1256B2020,5.2333741268559715,56.1998692822925,14.099948497410887
1080B3020,7.798920512641653,56.19744199548253,15.839790823912091
1081C1060,3.9157129356443137,56.20608905246492,15.310400835278362
0880C1210,0.444968869475557,56.701752173985696,16.345660183179266
1481C1190,0.10527112729730356,57.64817470823187,12.015017826564689
1480C1930,0.05505159759004677,57.692011430075695,11.947016798412893
1080C1210,3.807298311265602,56.20375818700455,15.682257847434679
1080C1230,2.3249453909058904,56.21023530100602,15.655859179428159
1080C1220,4.62196755935877,56.20930855900529,15.529746828808472
1480C2510,0.26805208459360347,57.70780285857783,11.911988303666078
1480C2410,0.4450300886378814,57.70421661539333,11.92192977934541
1082C1100,5.949128499973052,56.19464124558016,14.762710470497906
1284C1060,4.364460001008777,56.18669008757842,12.565718405629859
1292C1050,0.49850636076883387,56.240689376171275,12.861836051941708
1480C2690,0.2930098313246291,57.713262382569745,11.908691559135816
1480C2700,0.398641123371209,57.71332499473943,11.915798764395896
1080C1190,9.542953913447741,56.19533745696977,15.553886629832224
1284C1070,6.291504312951673,56.18934278655637,12.61764099456226
1284C1080,0.5010381765204979,56.196959588963324,12.570319816083567
1082C1090,17.18393528796286,56.18864715452387,14.813998255512866
1276B3010,12.344716969216325,56.19633237426145,13.093297429894369
1284C1090,1.7331308457195123,56.19801471262476,12.545282797184226
1082C1130,10.855978588759905,56.20486148000217,14.738343758688819
1081B2010,16.790007622378514,56.20002052339871,15.396323011972326
1272A0010,138.31338042116167,56.14319956607467,14.50053180219715
1080C1240,10.161008157905222,56.22461160275663,15.662260567043441
1081C1090,4.772144013489954,56.22898222430532,15.296882559086855
1490C1470,0.37470631046545616,57.74596573330239,12.944607347852608
1480C3010,2.187791065217056,57.727529912634246,12.037452737449474
1081C1080,4.714956098879814,56.21941792152183,15.260504019587408
1284C1110,6.598226036440132,56.21441077698008,12.546594659639254
1283A0040,53.08033723299117,56.16949776126881,12.756320401697025
1284C1100,7.473424955707461,56.20721394997876,12.594569894524861
1276A0030,118.0036214232009,56.17599663707196,13.166964266939521
1489C1090,0.9730175319291314,57.93469477561665,12.553906176557874
1489C1110,0.3818745484108708,57.93670995812915,12.528996208520072
1081B3010,9.526318377335954,56.23186000335769,15.116755280444398
1292C1010,6.9089110222978904,56.226113493307174,12.867250522206728
1485C1220,0.26960241974683785,58.37352040842965,11.937226636499195
1080A0030,87.08568208792194,56.16622777047398,15.758363406187252
1292C1020,3.4109445783289236,56.23299047699871,12.834862403426515
1284B2010,2.8500332349722957,56.22910278810814,12.683399507696059
1284A0010,52.61711858781247,56.19202363238827,12.67891911314311
1256A0010,84.29206975109251,56.20334023477545,14.1935503559867
1292C1040,1.308595031590783,56.24027133635259,12.879894587729638
1081C1110,3.836043996782844,56.25153560759454,15.306048838088621
1292C1090,0.19115906245956402,56.24836072661782,12.870068818169809
0581C1320,0.2362177574879832,58.58676401840225,16.18401594474095
1292C1080,2.0718643954612386,56.24874826475607,12.843567845557079
1292A0020,65.46623934889399,56.20263456472082,12.90596954669691
1060C1020,2.640280932447593,56.26683817041318,14.534199773359973
1081C1100,9.938083011138199,56.25369800544225,15.279844813257158
1256C1010,4.74187102962587,56.255797933573724,14.054480700013382
1292C1060,4.73302010308065,56.24702398652313,12.90252034751303
0581C1520,0.4112121796388684,58.606924428288835,16.156912016368274
1080B2010,7.837690771722722,56.253364982141655,15.627135982830932
1292B2010,4.168882323641175,56.25288735480465,12.968338938522317
0136C1270,0.07824894795538138,59.17213932835531,18.178226084052625
0136C1280,0.05606375258855199,59.1728757974773,18.175298230971322
0140C1030,3.628814335728931,59.17826277984988,17.406688330831887
1284C1120,7.5839396509369985,56.24045121291285,12.538064900215302
1256C1020,9.377031064933213,56.25862768319299,14.088689665710044
1275A0010,145.69414098271614,56.192897127728585,13.372685172865546
1080A0060,51.99984767138596,56.27247233328745,15.537905782204705
1080A0050,175.44060268956892,56.25552235804427,15.946970608618788
1060A0010,107.7152592248371,56.25977462350661,14.626744600231307
1293A0060,100.47835612194419,56.235811327500045,13.911716222659711
1284A0030,25.802575542647027,56.286283524460096,12.49164039970507
1257A0010,93.09213096812987,56.2543473754027,13.217953933879981
1256A0020,114.11107775947889,56.22974109809652,14.041600460297614
1284B2020,7.182515764467876,56.23797347412662,12.664470426674193
1082A0010,85.99553615653089,56.199772850398055,14.738677484022315
1292C1100,3.8622021146084857,56.25784099580807,12.848280601632753
1292C1120,0.8917628236710461,56.268395245308,12.858054035014145
1880C1420,0.11750618073051974,59.27984985859765,15.20568191574755
1880C1400,0.1623434165601569,59.27948550792335,15.196744626121989
1256B4010,6.892427452670188,56.26890615169508,14.199037244097982
1082B2010,10.73894016542536,56.264680633155244,14.76992078854542
1080A0040,81.58688765947461,56.2253583999476,15.64135153120542
1080B2020,7.251881649659555,56.2744838838198,15.619683763680301
1060C1030,5.575282913088696,56.27621414698087,14.552152217951557
1292C1110,6.256291691767809,56.26294346751437,12.886982649096222
1060C1040,6.676427703443178,56.27869944221974,14.505911507673828
1880C1130,0.32422702553863875,59.25437999882674,15.220091074953903
0126C1110,0.043298717879493014,59.22224604428406,17.947683267138043
0126C1140,0.035197522886710166,59.22385490969716,17.94548360242425
1060C1050,2.7416954758257943,56.28705097673174,14.527729401585997
1290A0110,162.91471566844763,56.20793194623119,14.350332266439247
1292B2020,10.5532120816755,56.2723512140516,12.96764521528525
0880C1110,0.4862499547432248,56.67443427388419,16.345076515445548
1380C1160,0.24279058331785358,56.66615323693017,12.885026195618527
1380C1170,0.2790294136621725,56.66565328390117,12.871994504525777
0840A0020,242.0805303853552,56.54254371936117,16.607826389619152
1293B7010,10.828804092510259,56.28655730092,13.935219981703563
1257C1030,2.5133760666932736,56.28961675529059,13.291968030001483
1292C1150,4.335909872823718,56.314157078668615,12.768247755451792
0180C2400,0.1357823443314662,59.29164786438739,18.093458949057602
0180C2420,0.21741337177604075,59.29489692265064,17.969939074857695
1257C1020,3.0078018353223235,56.276305123817195,13.261401961139146
1257C1010,12.283611755902475,56.280267239990955,13.313541471537913
1292C1130,6.3073466785420855,56.28111424047899,12.84242196698669
0880C1060,0.18717625256308512,56.6638684093932,16.354348775811044
1380C1130,0.389700071930177,56.66280413149955,12.901270958841655
0880C1120,0.47524609386292366,56.674943125748754,16.334056992625143
1293B4010,7.880684795815486,56.2910188993365,13.698021968798095
1293A0050,78.90201719886976,56.23979177090244,13.706140084131368
1293A0040,180.27896786113322,56.230043099930015,13.562596143651907
1293B4020,7.878433721345342,56.29806291770146,13.725506153129434
1257C1040,8.848721916443207,56.29207873820412,13.260298412793832
1284A0020,52.41149390417334,56.24801348467971,12.600863386735947
1256B3010,8.794835271722729,56.30471961967957,14.135808165580778
1292C1140,10.827585921646458,56.29968374382764,12.79832397577816
1293A0070,113.16390485035468,56.29178444791035,13.812994465709517
1292B3010,5.6279303964406155,56.31558174421938,12.930160699250285
1081A0030,187.77225876986196,56.25161820918244,15.108137496017829
1081A0020,178.10279051818253,56.227551919468986,15.397699380828895
1060B2010,8.28512010814492,56.35651536896987,14.590659457699582
1293B6010,14.271834951504417,56.34518088769357,13.662751157029987
1273C1010,10.563103880375177,56.36268816291527,14.000250543644057
1278C1010,14.851119906425632,56.4277876737817,12.819838688732952
1278C1030,18.077359538107277,56.43082624681718,12.91243295140765
1273A0020,230.7260016434902,56.40688292558533,13.96662104562047
0763B2010,10.093578356973834,56.46261842705886,14.690204414708088
1381A0020,58.93939841995287,56.41559296832142,12.99853729115083
1273A0010,225.55797864191928,56.4024527843765,14.347110539225236
1081A0040,227.4954063214298,56.380030599252784,15.303232620088757
1278A0020,78.09099067631784,56.424711633607494,12.714030590801142
1080A0100,108.28997013883072,56.43387570104088,15.569731112699314
1273C1020,3.9493594636214726,56.37185821921474,13.966475459744768
1278B2020,3.5770969477084296,56.35406742538227,12.804618197287088
1278B2010,6.192551428715626,56.35190974789249,12.827018212729628
1082A0030,176.22333189184292,56.317319759267264,14.825198591269926
1292A0040,83.92024762399856,56.31856352881345,12.92085216703274
1273C1030,6.267413737829256,56.38721862808106,14.022131021725897
1273C1040,4.995620433545372,56.39031104356376,13.97030108676658
1273C1050,3.970308609643295,56.39685686361378,13.991704048019349
1273B2010,10.636289816211157,56.39790964450503,14.316788901124552
1080A0070,123.30533375479763,56.31666489015341,15.766295735059721
1278B2030,12.525966599387822,56.38484506550713,12.790099136792241
1257A0020,100.33737438406894,56.326225925647044,13.34102506598448
0834B2010,13.705121665064924,56.39038487749672,16.071861964711744
1293A0080,219.2663468795965,56.35808682596288,13.69256379319314
0834C1010,13.82128695371061,56.40987347261403,16.004299767686472
